,0
0,ו
1,י
2,ק
3,י
4,פ
5,ד
6,י
7,ה
8,ה
9,א
10,נ
11,צ
12,י
13,ק
14,ל
15,ו
16,פ
17,ד
18,י
19,ה
20,ה
21,ח
22,ו
23,פ
24,ש
25,י
26,ת
27,כ
28,ד
29,ו
30,ר
31,ס
32,ל
33,ע
34,ר
35,ך
36,ש
37,י
38,ח
39,ה
40,ק
41,ר
42,י
43,א
44,ה
45,ע
46,ר
47,י
48,כ
49,ת
50,ק
51,ו
52,ד
53,מ
54,ק
55,ו
56,ר
57,ע
58,ר
59,י
60,כ
61,ה
62,ג
63,ר
64,ס
65,א
66,ו
67,ת
68,ק
69,ו
70,ד
71,מ
72,ו
73,ת
74,כ
75,ל
76,י
77,ם
78,ע
79,י
80,י
81,נ
82,ו
83,ג
84,ם
85,ב
86,פ
87,ו
88,ר
89,ט
90,ל
91,פ
92,ו
93,ר
94,ט
95,ל
96,ה
97,כ
98,ד
99,ו
100,ר
101,ס
102,ל
103,ה
104,ו
105,א
106,ש
107,ע
108,ר
109,ל
110,כ
111,ל
112,ה
113,נ
114,ו
115,ש
116,א
117,י
118,ם
119,ה
120,ק
121,ש
122,ו
123,ר
124,י
125,ם
126,ב
127,כ
128,ד
129,ו
130,ר
131,ס
132,ל
133,ה
134,פ
135,ו
136,ר
137,ט
138,ל
139,מ
140,צ
141,י
142,ג
143,א
144,נ
145,ש
146,י
147,ם
148,ב
149,ו
150,ל
151,ט
152,י
153,ם
154,ב
155,כ
156,ד
157,ו
158,ר
159,ס
160,ל
161,ל
162,י
163,ג
164,ו
165,ת
166,י
167,ד
168,ו
169,ע
170,ו
171,ת
172,מ
173,ו
174,ש
175,ג
176,י
177,ם
178,ת
179,מ
180,ו
181,נ
182,ו
183,ת
184,ו
185,ע
186,ר
187,כ
188,י
189,ם
190,נ
191,ב
192,ח
193,ר
194,י
195,ם
196,מ
197,ת
198,ח
199,ו
200,ם
201,ה
202,כ
203,ד
204,ו
205,ר
206,ס
207,ל
208,ד
209,ר
210,ג
211,י
212,י
213,מ
214,ס
215,נ
216,י
217,י
218,ס
219,מ
220,י
221,ת
222,מ
223,מ
224,צ
225,י
226,א
227,ה
228,כ
229,ד
230,ו
231,ר
232,ס
233,ל
234,מ
235,ח
236,ז
237,י
238,ק
239,ב
240,כ
241,ד
242,ו
243,ר
244,ו
245,ב
246,ס
247,ל
248,כ
249,ד
250,ו
251,ר
252,ס
253,ל
254,ה
255,ו
256,א
257,מ
258,ש
259,ח
260,ק
261,כ
262,ד
263,ו
264,ר
265,ו
266,ס
267,פ
268,ו
269,ר
270,ט
271,ק
272,ב
273,ו
274,צ
275,ת
276,י
277,ב
278,ו
279,מ
280,ת
281,ח
282,ר
283,ו
284,ת
285,ז
286,ו
287,ב
288,ז
289,ו
290,ש
291,ת
292,י
293,ק
294,ב
295,ו
296,צ
297,ו
298,ת
299,ב
300,נ
301,ו
302,ת
303,ח
304,מ
305,י
306,ש
307,ה
308,ש
309,ח
310,ק
311,נ
312,י
313,ם
314,כ
315,ל
316,א
317,ח
318,ת
319,ה
320,צ
321,ו
322,ב
323,ר
324,ו
325,ת
326,נ
327,ק
328,ו
329,ד
330,ו
331,ת
332,ב
333,א
334,מ
335,צ
336,ע
337,ו
338,ת
339,ק
340,ל
341,י
342,ע
343,ת
344,כ
345,ד
346,ו
347,ר
348,כ
349,ד
350,ו
351,ר
352,ס
353,ל
354,ד
355,ר
356,ך
357,ח
358,י
359,ש
360,ו
361,ק
362,ה
363,ס
364,ל
365,ש
366,ל
367,ה
368,ק
369,ב
370,ו
371,צ
372,ה
373,ה
374,י
375,ר
376,י
377,ב
378,ה
379,ה
380,כ
381,ד
382,ו
383,ר
384,ס
385,ל
386,ש
387,ה
388,ו
389,מ
390,צ
391,א
392,ב
393,ש
394,נ
395,ת
396,ע
397,ל
398,י
399,ד
400,י
401,ג
402,י
403,י
404,מ
405,ס
406,נ
407,י
408,י
409,ס
410,מ
411,י
412,ת
413,ה
414,ו
415,א
416,מ
417,ע
418,נ
419,פ
420,י
421,ה
422,ס
423,פ
424,ו
425,ר
426,ט
427,ה
428,פ
429,ו
430,פ
431,ו
432,ל
433,ר
434,י
435,י
436,ם
437,ב
438,י
439,ו
440,ת
441,ר
442,ב
443,ע
444,ו
445,ל
446,ם
447,ב
448,ע
449,י
450,ק
451,ר
452,ב
453,ע
454,ו
455,ל
456,ם
457,ה
458,מ
459,ע
460,ר
461,ב
462,י
463,ה
464,ו
465,א
466,ה
467,ו
468,כ
469,ר
470,כ
471,ס
472,פ
473,ו
474,ר
475,ט
476,א
477,ו
478,ל
479,י
480,מ
481,פ
482,י
483,ו
484,נ
485,כ
486,ל
487,ל
488,ב
489,מ
490,ש
491,ח
492,ק
493,י
494,ם
495,ה
496,א
497,ו
498,ל
499,י
500,מ
501,פ
502,י
503,י
504,ם
505,ב
506,ע
507,ת
508,ה
509,מ
510,ו
511,ד
512,ר
513,נ
514,י
515,ת
516,ב
517,ק
518,ב
519,י
520,ע
521,ו
522,ת
523,מ
524,א
525,ז
526,א
527,ו
528,ל
529,י
530,מ
531,פ
532,י
533,א
534,ד
535,ת
536,ב
537,ר
538,ל
539,י
540,ן
541,ל
542,א
543,ח
544,ר
545,ש
546,ק
547,ו
548,ד
549,ם
550,ל
551,כ
552,ן
553,נ
554,ע
555,ר
556,כ
557,ו
558,א
559,י
560,ר
561,ו
562,ע
563,י
564,ר
565,א
566,ו
567,ו
568,ה
569,מ
570,ח
571,ו
572,ץ
573,ל
574,ת
575,ו
576,כ
577,נ
578,י
579,ת
580,ה
581,ר
582,ש
583,מ
584,י
585,ת
586,ב
587,א
588,ו
589,ל
590,י
591,מ
592,פ
593,י
594,א
595,ד
596,ת
597,ס
598,נ
599,ט
600,ל
601,ו
602,א
603,י
604,ס
605,ו
606,ב
607,א
608,ו
609,ל
610,י
611,מ
612,פ
613,י
614,א
615,ד
616,ת
617,ל
618,ו
619,ס
620,א
621,נ
622,ג
623,ל
624,ס
625,ב
626,ת
627,ח
628,י
629,ל
630,ה
631,ה
632,ת
633,ק
634,י
635,י
636,ם
637,ט
638,ו
639,ר
640,נ
641,י
642,ר
643,ל
644,ג
645,ב
646,ר
647,י
648,ם
649,ב
650,ל
651,ב
652,ד
653,ו
654,ט
655,ו
656,ר
657,נ
658,י
659,ר
660,כ
661,ד
662,ו
663,ר
664,ס
665,ל
666,נ
667,ש
668,י
669,ם
670,נ
671,ע
672,ר
673,ך
674,ל
675,ר
676,א
677,ש
678,ו
679,נ
680,ה
681,ב
682,א
683,ו
684,ל
685,י
686,מ
687,פ
688,י
689,א
690,ד
691,ת
692,מ
693,ו
694,נ
695,ט
696,ר
697,י
698,א
699,ו
700,ל
701,ה
702,ג
703,ו
704,ף
705,ה
706,מ
707,נ
708,ה
709,ל
710,א
711,ת
712,ה
713,ע
714,נ
715,ף
716,ב
717,ע
718,ו
719,ל
720,ם
721,ה
722,ו
723,א
724,פ
725,י
726,ב
727,א
728,ה
729,פ
730,ד
731,ר
732,צ
733,י
734,ה
735,ה
736,ב
737,י
738,נ
739,ל
740,א
741,ו
742,מ
743,י
744,ת
745,ש
746,ל
747,ה
748,כ
749,ד
750,ו
751,ר
752,ס
753,ל
754,ב
755,ו
756,ח
757,ב
758,ר
759,ו
760,ת
761,מ
762,ד
763,י
764,נ
765,ו
766,ת
767,ב
768,י
769,ש
770,ר
771,א
772,ל
773,מ
774,נ
775,ה
776,ל
777,א
778,ת
779,ה
780,ע
781,נ
782,ף
783,א
784,י
785,ג
786,ו
787,ד
788,ה
789,כ
790,ד
791,ו
792,ר
793,ס
794,ל
795,ב
796,י
797,ש
798,ר
799,א
800,ל
801,ל
802,מ
803,ע
804,ט
805,ל
806,י
807,ג
808,ו
809,ת
810,ה
811,ע
812,ל
813,ל
814,ג
815,ב
816,ר
817,י
818,ם
819,ו
820,ל
821,נ
822,ש
823,י
824,ם
825,ה
826,מ
827,נ
828,ו
829,ה
830,ל
831,ו
832,ת
833,ע
834,ל
835,י
836,ד
837,י
838,א
839,ר
840,ג
841,ו
842,ן
843,ה
844,נ
845,ק
846,ר
847,א
848,מ
849,נ
850,ה
851,ל
852,ת
853,ל
854,י
855,ג
856,ת
857,ה
858,ע
859,ל
860,ה
861,ל
862,י
863,ג
864,ה
865,ה
866,נ
867,ח
868,ש
869,ב
870,ת
871,ל
872,ט
873,ו
874,ב
875,ה
876,ו
877,ל
878,פ
879,ו
880,פ
881,ו
882,ל
883,ר
884,י
885,ת
886,ב
887,ע
888,ו
889,ל
890,ם
891,ה
892,י
893,א
894,ל
895,י
896,ג
897,ת
898,ה
899,ה
900,פ
901,ו
902,ע
903,ל
904,ת
905,ב
906,א
907,ר
908,צ
909,ו
910,ת
911,ה
912,ב
913,ר
914,י
915,ת
916,ו
917,ב
918,ק
919,נ
920,ד
921,ה
922,א
923,ך
924,ע
925,ם
926,ז
927,א
928,ת
929,מ
930,ד
931,ד
932,ה
933,פ
934,ו
935,פ
