,0
0,ו
1,י
2,ק
3,י
4,פ
5,ד
6,י
7,ה
8,ה
9,א
10,נ
11,צ
12,י
13,ק
14,ל
15,ו
16,פ
17,ד
18,י
19,ה
20,ה
21,ח
22,ו
23,פ
24,ש
25,י
26,ת
27,י
28,ש
29,ר
30,א
31,ל
32,ע
33,ר
34,ך
35,ש
36,י
37,ח
38,ה
39,ק
40,ר
41,י
42,א
43,ה
44,ה
45,צ
46,ג
47,ת
48,מ
49,ק
50,ו
51,ר
52,ג
53,ר
54,ס
55,א
56,ו
57,ת
58,ק
59,ו
60,ד
61,מ
62,ו
63,ת
64,כ
65,ל
66,י
67,ם
68,מ
69,ו
70,ג
71,ן
72,ח
73,ל
74,ק
75,י
76,ת
77,פ
78,י
79,ר
80,ו
81,ש
82,נ
83,ו
84,ס
85,ף
86,ע
87,ר
88,ך
89,ז
90,ה
91,ע
92,ו
93,ס
94,ק
95,ב
96,מ
97,ד
98,י
99,נ
100,ה
101,ב
102,מ
103,ז
104,ר
105,ח
106,ה
107,ת
108,י
109,כ
110,ו
111,ן
112,א
113,ם
114,ה
115,ת
116,כ
117,ו
118,ו
119,נ
120,ת
121,ם
122,ל
123,מ
124,ש
125,מ
126,ע
127,ו
128,ת
129,א
130,ח
131,ר
132,ת
133,ר
134,א
135,ו
136,י
137,ש
138,ר
139,א
140,ל
141,פ
142,י
143,ר
144,ו
145,ש
146,ו
147,נ
148,י
149,ם
150,ה
151,מ
152,ו
153,נ
154,ח
155,מ
156,ד
157,י
158,נ
159,ת
160,י
161,ש
162,ר
163,א
164,ל
165,מ
166,פ
167,נ
168,ה
169,ל
170,כ
171,א
172,ן
173,ל
174,ע
175,ר
176,ך
177,ה
178,ע
179,ו
180,ס
181,ק
182,ב
183,א
184,ו
185,נ
186,י
187,י
188,ת
189,מ
190,ע
191,פ
192,י
193,ל
194,י
195,ם
196,ר
197,א
198,ו
199,מ
200,ד
201,י
202,נ
203,ת
204,י
205,ש
206,ר
207,א
208,ל
209,א
210,ו
211,נ
212,י
213,י
214,ת
215,מ
216,ע
217,פ
218,י
219,ל
220,י
221,ם
222,מ
223,ד
224,י
225,נ
226,ת
227,י
228,ש
229,ר
230,א
231,ל
232,מ
233,ד
234,י
235,נ
236,ת
237,י
238,ש
239,ר
240,א
241,ל
242,ד
243,ג
244,ל
245,ד
246,ג
247,ל
248,ס
249,מ
250,ל
251,ס
252,מ
253,ל
254,ד
255,ג
256,ל
257,י
258,ש
259,ר
260,א
261,ל
262,מ
263,ל
264,מ
265,ע
266,ל
267,ה
268,ל
269,מ
270,ט
271,ה
272,ד
273,ג
274,ל
275,י
276,ש
277,ר
278,א
279,ל
280,ע
281,ל
282,ר
283,ק
284,ע
285,ה
286,ש
287,מ
288,י
289,י
290,ם
291,ה
292,כ
293,ו
294,ת
295,ל
296,ה
297,מ
298,ע
299,ר
300,ב
301,י
302,ו
303,ה
304,ר
305,ה
306,ב
307,י
308,ת
309,ד
310,ג
311,ל
312,י
313,ש
314,ר
315,א
316,ל
317,ע
318,ל
319,ר
320,ק
321,ע
322,ה
323,כ
324,ו
325,ת
326,ל
327,ה
328,מ
329,ע
330,ר
331,ב
332,י
333,ע
334,ץ
335,ע
336,ל
337,א
338,י
339,ב
340,מ
341,ר
342,כ
343,ז
344,י
345,ם
346,ה
347,מ
348,ל
349,ח
350,פ
351,ר
352,א
353,י
354,ם
355,ב
356,ה
357,ר
358,ה
359,נ
360,ג
361,ב
362,י
363,ר
364,ו
365,ש
366,ל
367,י
368,ם
369,מ
370,כ
371,ו
372,ס
373,ה
374,ב
375,ש
376,ל
377,ג
378,ח
379,י
380,פ
381,ה
382,מ
383,ה
384,א
385,ו
386,ו
387,י
388,ר
389,ד
390,ו
391,ל
392,פ
393,י
394,ן
395,ב
396,ר
397,י
398,ף
399,ה
400,ד
401,ו
402,ל
403,פ
404,י
405,נ
406,י
407,ם
408,ב
409,א
410,י
411,ל
412,ת
413,ג
414,ל
415,י
416,ש
417,ת
418,ע
419,נ
420,נ
421,י
422,ם
423,ל
424,ת
425,ו
426,ך
427,מ
428,כ
429,ת
430,ש
431,ר
432,מ
433,ו
434,ן
435,ח
436,ו
437,ף
438,פ
439,ל
440,מ
441,ח
442,י
443,ם
444,ע
445,ל
446,ר
447,ק
448,ע
449,ג
450,ו
451,ר
452,ד
453,י
454,ה
455,ש
456,ח
457,ק
458,י
459,ם
460,ר
461,כ
462,ס
463,ב
464,ח
465,ו
466,ף
467,ג
468,ע
469,ש
470,ל
471,ח
472,צ
473,ו
474,ל
475,ה
476,ג
477,ד
478,ל
479,ה
480,ה
481,מ
482,נ
483,ו
484,ן
485,ל
486,א
487,ו
488,מ
489,י
490,ה
491,ת
492,ק
493,ו
494,ו
495,ה
496,מ
497,מ
498,ש
499,ל
500,מ
501,ש
502,ט
503,ר
504,ד
505,מ
506,ו
507,ק
508,ר
509,ט
510,י
511,ה
512,פ
513,ר
514,ל
515,מ
516,נ
517,ט
518,ר
519,י
520,ת
521,ר
522,א
523,ש
524,ה
525,מ
526,ד
527,י
528,נ
529,ה
530,נ
531,ש
532,י
533,א
534,ה
535,מ
536,ד
537,י
538,נ
539,ה
540,נ
541,ש
542,י
543,א
544,ה
545,מ
546,ד
547,י
548,נ
549,ה
550,נ
551,ס
552,ה
553,נ
554,ש
555,י
556,א
557,י
558,צ
559,ח
560,ק
561,ה
562,ר
563,צ
564,ו
565,ג
566,ר
567,א
568,ש
569,ה
570,ר
571,ש
572,ו
573,ת
574,ה
575,מ
576,ב
577,צ
578,ע
579,ת
580,ר
581,א
582,ש
583,ה
584,מ
585,מ
586,ש
587,ל
588,ה
589,ר
590,א
591,ש
592,ה
593,מ
594,מ
595,ש
596,ל
597,ה
598,ר
599,א
600,ש
601,מ
602,מ
603,ש
604,ל
605,ת
606,י
607,ש
608,ר
609,א
610,ל
611,ב
612,נ
613,י
614,מ
615,י
616,ן
617,נ
618,ת
619,נ
620,י
621,ה
622,ו
623,ש
624,פ
625,ה
626,ר
627,ש
628,מ
629,י
630,ת
631,ע
632,ב
633,ר
634,י
635,ת
636,ע
637,י
638,ר
639,ב
640,י
641,ר
642,ה
643,י
644,ר
645,ו
646,ש
647,ל
648,י
649,ם
650,י
651,ר
652,ו
653,ש
654,ל
655,י
656,ם
657,ה
658,כ
659,ר
660,ה
661,ב
662,י
663,נ
664,ל
665,א
666,ו
667,מ
668,י
669,ת
670,ח
671,ל
672,ק
673,י
674,ת
675,ו
676,ה
677,ע
678,י
679,ר
680,ה
681,ג
682,ד
683,ו
684,ל
685,ה
686,ב
687,י
688,ו
689,ת
690,ר
691,ר
692,ש
693,ו
694,ת
695,מ
696,ח
697,ו
698,ק
699,ק
700,ת
701,ה
702,כ
703,נ
704,ס
705,ת
706,ר
707,ש
708,ו
709,ת
710,ש
711,ו
712,פ
713,ט
714,ת
715,מ
716,ע
717,ר
718,כ
719,ת
720,ה
721,מ
722,ש
723,פ
724,ט
725,ה
726,י
727,ש
728,ר
729,א
730,ל
731,י
732,ת
733,ה
734,כ
735,ו
736,ל
737,ל
738,ת
739,ב
740,ע
741,י
742,ק
743,ר
744,א
745,ת
746,ב
747,ת
748,י
749,ה
750,מ
751,ש
752,פ
753,ט
754,ג
755,א
756,ו
757,ג
758,ר
759,פ
760,י
761,ה
762,י
763,ב
764,ש
765,ת
766,א
767,ס
768,י
769,ה
770,ש
771,ט
772,ח
773,י
774,ב
775,ש
776,ת
777,י
778,ק
779,מ
780,ר
781,ב
782,ע
783,ו
784,ל
785,ם
786,א
787,ח
788,ו
789,ז
790,ש
791,ט
792,ח
793,ה
794,מ
795,י
796,ם
797,א
798,ז
799,ו
800,ר
801,ז
802,מ
803,ן
804,ה
805,י
806,ס
807,ט
808,ו
809,ר
810,י
811,ה
812,ה
813,ק
814,מ
815,ה
816,ע
817,צ
818,מ
819,א
820,ו
821,ת
822,מ
823,ה
824,מ
825,מ
826,ל
827,כ
828,ה
829,ה
830,מ
831,א
832,ו
833,ח
834,ד
835,ת
836,מ
837,ל
838,ח
839,מ
840,ת
841,ה
842,ע
843,צ
844,מ
845,א
846,ו
847,ת
848,ה
849,כ
850,ר
851,ז
852,ת
853,ה
854,ע
855,צ
856,מ
857,א
858,ו
859,ת
860,ב
861,נ
862,ו
863,ב
864,מ
865,ב
866,ר
867,ב
868,י
869,ו
870,ל
871,י
872,ה
873,ב
874,א
875,י
876,י
877,ר
878,ה
879,ת
880,ש
881,ח
882,ב
883,מ
884,א
885,י
886,י
887,ש
888,ו
889,ת
890,ק
891,ו
892,ד
893,מ
894,ת
895,ה
896,מ
897,נ
898,ד
899,ט
900,ה
901,ב
902,ר
903,י
904,ט
905,י
906,ה
907,מ
908,נ
909,ד
910,ט
911,ה
912,ב
913,ר
914,י
915,ט
916,י
917,ע
918,ל
919,פ
920,ל
921,ש
922,ת
923,י
924,נ
925,ה
926,א
927,י
928,ד
929,מ
930,ו
931,ג
932,ר
933,פ
934,י
935,ה
936,א
937,ו
